DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Ovarian cancer	PVT1	miR-133a	negatively-F	qRT-PCR;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell invasion(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Ovarian cancer	lncRNA	miRNA	ENSG00000249859	GRCh38_8:127794526-128187101	NA	NA	5820	NA	LINC00079|MIR1204HG|NCRNA00079|onco-lncRNA-100	NA	Long non-coding RNA PVT1 promotes cell proliferation and invasion through regulating miR-133a in ovarian cancer;qRT-PCR and luciferase reporter assays demonstrated PVT1 regulated miR-133a expression;Knockdown of PVT1 inhibited cell proliferation, migration and invasion through negative regulating miR-133a in OC cells	29957467	RID00011	ceRNA or sponge
Colorectal cancer	FEZF1-AS1	PKM	positively-F	RNA pull-down assay;RIP;luciferase reporter assay;	upregulation	qRT-PCR;microarray	NA	NA	STAT3 signaling pathway(+);cell proliferation(+);cell metastasis(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Sustained Angiogenesis	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000230316	GRCh38_7:122303658-122310119	ENSG00000067225	NA	154860	5315	NA	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	LncRNA-FEZF1-AS1 Promotes Tumor Proliferation and Metastasis in Colorectal Cancer by Regulating PKM2 Signaling.FEZF1-AS1 could bind and increase the stability of the pyruvate kinase 2 (PKM2) protein;these data provide mechanistic insights into the regulation of FEZF1-AS1 on both STAT3 signaling and glycolysis by binding PKM2 and increasing its stability;LncRNA-FEZF1-AS1 Promotes Tumor proliferation and Metastasis in Colorectal Cancer by Regulating PKM2 Signaling	29914894	RID00012	interact with protein
Retinoblastoma	DANCR	MMP9	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cancer progression(+);cell metastasis(+)	ceRNA(miR-34c;miR-613)	regulation	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Retinoblastoma	lncRNA	PCG	ENSG00000226950	GRCh38_4:52712404-52720351	ENSG00000100985	NA	57291	4318	AGU2|ANCR|KIAA0114|SNHG13|lncRNA-ANCR	CLG4B|GELB|MANDP2|MMP-9	Long noncoding RNA DANCR aggravates retinoblastoma through miR-34c and miR-613 by targeting MMP-9.our results reveal that DANCR function as competing endogenous RNA (ceRNA) for miR-34c and miR-613 to modulate progression and metastasis in RB oncogenesis via targeting MMP-9	29744877	RID00013	ceRNA or sponge
Prostate cancer	HOTTIP	miR-216a-5p	negatively-F	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Prostate cancer	lncRNA	miRNA	ENSG00000243766	GRCh38_7:27198575-27207259	NA	NA	100316868	NA	HOXA-AS6|HOXA13-AS1|NCRNA00213	NA	Long non-coding RNA HOTTIP promotes prostate cancer cells proliferation and migration by sponging miR-216a-5p;Bioinformatics online programs predicted that HOTTIP sponge miR-216a-5p at 3'-UTR with complementary binding sites, which was validated using luciferase reporter assay. HOTTIP could negatively regulate the expression of miR-216a-5p in PCa cells	29884766	RID00014	ceRNA or sponge
Gastric cancer	PEG10	miR-3200	negatively-E	RNAi;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell growth(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	miRNA	ENSG00000242265	GRCh38_7:94656325-94669695	NA	NA	NA	NA	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3|RTL2|SIRH1	NA	Knockdown of long non-coding RNA PEG10 inhibits growth, migration and invasion of gastric carcinoma cells via up-regulating miR-3200;	29940767	RID00015	expression association
Gastric cancer	CCAT1	BMI1	positively-E	RNAi	upregulation	qRT-PCR	NA	NA	cell growth(+);cell invasion(+);cell metastasis(+)	NA	association	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	PCG	NA	GRCh38_8:127207382-127219268	ENSG00000168283	NA	100507056	648	CARLO5|CARLo-5|onco-lncRNA-40	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	Knockdown of long noncoding RNA CCAT1 inhibits cell growth, invasion and peritoneal metastasis via downregulation of Bmi-1 in gastric cancer;The results showed that CCAT1 knockdown markedly inhibited cell proliferation, migration and invasion, arrested the cell cycle at G0/G1 phase in vitro, and inhibited peritoneal metastasis in nude mice, along with the downregulation of Bmi-1	29940756	RID00016	expression association
Esophageal cancer	GAS5	miR-301a	negatively-F	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell metastasis(+);apoptosis process(-)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis;Evading Apoptosis	Cancer	Esophageal cancer	lncRNA	miRNA	ENSG00000234741	GRCh38_1:173858559-173868882	NA	NA	60674	NA	NCRNA00030|SNHG2	NA	Long Noncoding RNA GAS5 Promotes proliferation, Migration, and Invasion by Regulation of miR-301a in Esophageal Cancer;miR-301a appeared to be directly sponged by GAS5	29386089	RID00017	ceRNA or sponge
Malignant glioma	CCDC26	miR-203	negatively-F	RNAi;luciferase reporter assay	upregulation	qPCR;northern blot	NA	NA	cell growth(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Brain glioma	lncRNA	miRNA	ENSG00000229140	GRCh38_8:128634199-129683770	NA	NA	137196	NA	RAM	NA	Silencing of lncRNA CCDC26 Restrains the Growth and Migration of Glioma Cells In Vitro and In Vivo via Targeting miR-203; miR-203 is a direct target of CCDC26	28600863	RID00018	ceRNA or sponge
Lung adenocarcinoma	CRNDE	CDKN1A	negatively-E	RNAi;ChIP	upregulation	qRT-PCR	NA	NA	radioresistance(+)	epigenetic regulation	regulation	NA	NA	NA	NA	Cancer	Lung cancer	lncRNA	PCG	ENSG00000245694	GRCh38_16:54845189-54929189	ENSG00000124762	NA	NA	1026	CRNDEP|LINC00180|NCRNA00180|PNAS-108|lincIRX5	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Long Noncoding RNA CRNDE/PRC2 Participated in the Radiotherapy Resistance of Human Lung Adenocarcinoma Through Targeting p21 Expression;the mechanistic investigations showed that CRNDE could interact with PRC2 and recruit its core component EZH2 to p21 (CDKN1A) promoter regions and repress its transcription;	28550688	RID00019	epigenetic regulation
Osteosarcoma	LINC00858	CDK14	positively-E	luciferase reporter assay;RIP	upregulation	qRT-PCR	NA	NA	tumorigenesis(+)	ceRNA(miR-139)	regulation	NA	NA	NA	NA	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000229404	GRCh38_10:84267747-84294659	ENSG00000058091	NA	170425	5218	CRCAL-2	PFTAIRE1|PFTK1	Long noncoding RNA LINC00858 promotes osteosarcoma through regulating miR-139-CDK14 axis;LINC00858 was identified to sponge miR-139 to form RNA-induced silencing complex (RISC) using luciferase reporter assay and RNA immunoprecipitation;these data prove that LINC00858/miR-139/CDK14 axis promotes the tumorigenesis of osteosarcoma	29944887	RID00020	ceRNA or sponge
Hepatocellular carcinoma	HOTAIR	ZEB1	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	epithelial to mesenchymal transition(+);cell invasion(+);cell migration(+)	ceRNA(miR-23b-3p)	regulation	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Liver cancer	lncRNA	TF	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000148516	NA	100124700	6935	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	LncRNA HOTAIR contributes to the malignancy of hepatocellular carcinoma by enhancing epithelial-mesenchymal transition via sponging miR-23b-3p from ZEB1;Our in vitro experiments suggested that HOTAIR promoted invasion and migration of HCC cells through enhancing EMT via sponging miR-23b-3p from ZEB1. Finally, the in vivo experiments indicated that HOTAIR could promote metastasis of HCC by enhancing EMT in vivo.	29778425	RID00021	ceRNA or sponge
Cervical cancer	HAGLR	ZEB1	positively-E	luciferase reporter assay	upregulation	qRT-PCR	NA	NA	chemoresistance(+)	ceRNA(miR-130a-3p)	regulation	NA	cisplatin	NA	NA	Cancer	Cervical cancer	lncRNA	TF	ENSG00000224189	GRCh38_2:176164051-176188958	ENSG00000148516	NA	401022	6935	HOXD-AS1|MIR7704HG|Mdgt	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	HOXD-AS1 Exerts Oncogenic Functions and Promotes Chemoresistance in Cisplatin-Resistant Cervical Cancer Cells;These results collectively show that HOXD-AS1 can act as a competing endogenous RNA to upregulate ZEB1 expression via miR-130a-3p	29896986	RID00022	ceRNA or sponge
Endometrial cancer	TDRG1	VEGFA	positively-F	RIP	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell invasion(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Endometrial cancer	lncRNA	PCG	ENSG00000204091	GRCh38_6:40334775-40387590	ENSG00000112715	NA	732253	7422	LINC00532|lincRNA-NR_024015	MVCD1|VEGF|VPF	LncRNA TDRG1 enhances tumorigenicity in endometrial carcinoma by binding and targeting VEGF-A protein;RNA binding protein immunoprecipitation (RIP) assays confirmed that lncRNA TDRG1 directly binds to VEGF-A protein;knockdown of VEGFA in lncRNA TDRG1-overexpressing endometrial carcinoma cells reversed the effects of lncRNA TDRG1 on cell proliferation, invasion, migration and apoptosis	29920344	RID00023	interact with protein
Colorectal cancer	LIFR-AS1	TNFAIP3	positively-E	RNA pull-down assay;RIP;luciferase reporter assay;	upregulation	microarray;qRT-PCR	NA	NA	photodynamic therapy resistance(+);cell proliferation(+);apoptosis process(-)	ceRNA(miR-29a)	regulation	NA	NA	NA	NA	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000244968	GRCh38_5:38556765-38671216	ENSG00000118503	NA	100506495	7128	NA	A20|AISBL|OTUD7C|TNFA1P2	Functional role of a long non-coding RNA LIFR-AS1/miR-29a/TNFAIP3 axis incolorectal cancer resistance to pohotodynamic therapy;LIFR-AS1 serves as a competitive endogenous RNA (ceRNA) for miR-29a to inhibit its expression and up-regulate downstream target TNFAIP3 expression, finally modulating the resistance of CRC to PDT	29807108	RID00024	ceRNA or sponge
Nasopharynx carcinoma	THORLNC	YAP1	positively-E	RIP;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	chemoresistance(-);cell stemness(+)	transcriptional regulation	binding/interaction	RNA-RNA	cisplatin	NA	Limitless Replicative Potential	Cancer	Nasopharynx carcinoma	lncRNA	PCG	ENSG00000226856	GRCh38_2:118132128-118222250	ENSG00000137693	NA	100506797	10413	NA	COB1|YAP|YAP2|YAP65|YKI	LncRNA THOR attenuates cisplatin sensitivity of nasopharyngeal carcinoma cells via enhancing cells stemness;THOR could enhance YAP transcriptional activity via directly binding to YAP and suppressing its translocation from nuclear to cytoplasm	29959065	RID00025	transcriptional regulation
Non-small cell lung cancer	LINC00339	FOXM1	positively-E	RIP;luciferase reporter assay	upregulation	qRT-PCR	NA	NA	tumorigenesis(+)	ceRNA(miR-145)	regulation	NA	NA	NA	NA	Cancer	Lung cancer	lncRNA	TF	ENSG00000218510	GRCh38_1:22024558-22031223	ENSG00000111206	NA	29092	2305	HSPC157|NCRNA00339	FKHL16|FOXM1A|FOXM1B|FOXM1C|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TRIDENT	Long non-coding RNA LINC00339 facilitates the tumorigenesis of non-small cell lung cancer by sponging miR-145 through targeting FOXM1;Luciferase reporter assay and RNA immunoprecipitation (RIP) revealed that LINC00339 promoted the NSCLC progression via FOXM1 via targeting miR-145	29906749	RID00026	ceRNA or sponge
Lung adenocarcinoma	NNT-AS1	miR-129-5p	negatively-F	luciferase reporter assay	upregulation	qRT-PCR;sequencing	TCGA	LUAD.zip	cell proliferation(+);cell invasion(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	miRNA	ENSG00000248092	GRCh38_5:43571594-43603230	NA	NA	100652772	NA	NA	NA	LncRNA NNT-AS1 promotes the proliferation, and invasion of lung cancer cells via regulating miR-129-5p expression;we identified that NNT-AS1 could function as a competing endogenous RNA (ceRNA) by sponging miR-129-5p in lung cancer	29857296	RID00027	ceRNA or sponge
Breast cancer	CBR3-AS1	TGFB1	positively-E	RNAi	downregulation	qRT-PCR	NA	NA	cell growth(-)	NA	association	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals	Cancer	Breast cancer	lncRNA	PCG	ENSG00000236830	GRCh38_21:36131767-36175815	ENSG00000105329	NA	100506428	7040	PlncRNA-1|PlncRNA1	CED|DPD1|IBDIMDE|LAP|TGFB|TGFbeta	LncRNA PlncRNA-1 overexpression inhibits the growth of breast cancer by upregulating TGF-beta1 and downregulating PHGDH;Upregulation of PlncRNA-1 promoted the expression of TGF-beta1, but inhibited the expression of PHGDH;LncRNA PlncRNA-1 overexpression reduced the proliferation rate, but increased the apoptosis rate of breast cancer cells, while treatment with TGF-beta inhibitor reduced those effects of PlncRNA-1 overexpression	29626321	RID00028	expression association
Breast cancer	CBR3-AS1	PHGDH	negatively-E	RNAi	downregulation	qRT-PCR	NA	NA	cell growth(-);cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Breast cancer	lncRNA	PCG	ENSG00000236830	GRCh38_21:36131767-36175815	ENSG00000092621	NA	100506428	26227	PlncRNA-1|PlncRNA1	3-PGDH|3PGDH|HEL-S-113|NLS|NLS1|PDG|PGAD|PGD|PGDH|PHGDHD|SERA	LncRNA PlncRNA-1 overexpression inhibits the growth of breast cancer by upregulating TGF-beta1 and downregulating PHGDH;Upregulation of PlncRNA-1 promoted the expression of TGF-beta1, but inhibited the expression of PHGDH;LncRNA PlncRNA-1 overexpression reduced the proliferation rate, but increased the apoptosis rate of breast cancer cells, while treatment with TGF-beta inhibitor reduced those effects of PlncRNA-1 overexpression	29626321	RID00029	expression association
Colorectal cancer	HOTAIR	CDKN1A	negatively-E	RT-qPCR;western blot	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell invasion(+);cell migration(+);apoptosis process(-)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis;Evading Apoptosis	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000124762	NA	100124700	1026	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Down-Regulated LncRNA-HOTAIR Suppressed Colorectal Cancer Cell proliferation,Invasion, and Migration by Mediating p21	29808247	RID00030	expression association
Gastric cancer	HOTAIR	RUNX3	negatively-F	RPI-Seq;RIP;RNA pull-down assay	NA	NA	NA	NA	cell invasion(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	TF	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000020633	NA	100124700	864	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	AML2|CBFA3|PEBP2aC	HOTAIR induces the ubiquitination of Runx3 by interacting with Mex3b and enhances the invasion of gastric cancer cells;We found that HOTAIR was bound to Runx3 protein and identified the fragment of HOTAIR spanning 1951-2100 bp as the specific binding site;Inhibition of HOTAIR significantly suppressed gastric cancer cell migration and invasion through upregulating claudin1, which could be reversed by co-deficiency of Runx3.	29417297	RID00031	interact with protein
Pancreatic cancer	ZEB2-AS1	HMGB1	positively-E	RIP;luciferase reporter assay	upregulation	microarray	NA	NA	cell growth(+);cell invasion(+)	ceRNA(miR-204)	regulation	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Pancreatic cancer	lncRNA	TF	ENSG00000238057	GRCh38_2:144517978-144521477	ENSG00000189403	NA	100303491	3146	ZEB2-AS|ZEB2AS|ZEB2NAT	HMG-1|HMG1|HMG3|SBP-1	LncRNA ZEB2-AS1 promotes pancreatic cancer cell growth and invasion through regulating the miR-204/HMGB1 axis; ZEB2-AS1 exerted as a ceRNA and negatively regulated miR-204 expression;HMGB1 was identified as a down-stream target of miR-204	29753015	RID00032	ceRNA or sponge
Hepatocellular carcinoma	FUNDC2P4	CDH1	positively-E	western blot	downregulation	microarray;qRT-PCR	NA	NA	epithelial to mesenchymal transition(-)	NA	association	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000227009	GRCh38_22:39155525-39155945	ENSG00000039068	NA	100127979	999	NA	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	LncRNA FUNDC2P4 down-regulation promotes epithelial-mesenchymal transition by reducing E-cadherin expression in residual hepatocellular carcinoma after insufficient radiofrequency ablation;overexpression of FUNDC2P4 inhibited proliferation, invasion and migration potential and up-regulated E-cadherin expression in SMMC-7721 cells, whereas silencing FUNDC2P4 promoted these potentials	29295626	RID00033	expression association
Malignant glioma	SNHG12	ELAVL1	interact	RIP;qRT-PCR	upregulation	qRT-PCR	NA	NA	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Brain glioma	lncRNA	PCG	ENSG00000197989	GRCh38_1:28578538-28583132	ENSG00000066044	NA	85028	1994	ASLNC04080|C1orf79|LINC00100|NCRNA00100|PNAS-123	ELAV1|HUR|Hua|MelG	Long non-coding RNA SNHG12 promotes the proliferation and migration of glioma cells by binding to HuR;RIP and RNA pull-down assays demonstrated that SNHG12 was associated with and was stabilized by HuR	30015836	RID00034	interact with protein
Melanoma	LNCRNA-ATB	YAP1	positively-E	RNA pull-down assay;RT-qPCR;western blot	upregulation	microarray;qRT-PCR	GSE3189	GSE3189.zip	cell proliferation(+);cell invasion(+)	ceRNA(miR-590-5p)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Melanoma	lncRNA	PCG	NA	GRCh38_14:19126530-19128974	ENSG00000137693	NA	114004396	10413	NA	COB1|YAP|YAP2|YAP65|YKI	lncRNA-ATB functions as a competing endogenous RNA to promote YAP1 by sponging miR-590-5p in malignant melanoma;lncRNA-ATB functions as a competing endogenous RNA (ceRNA) to enhance Yes associated protein 1 expression by competitively sponging microRNA miR-590-5p;lncRNA-ATB functions as a ceRNA to promote MM proliferation and invasion	29956757	RID00035	ceRNA or sponge
