RID	Regulator	Target	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
RID00017	GAS5	miR-301a	NA	0.37175	0.44184	0.54488	NA	0.01759	0.61637	0.21946	0.92418	0.56319	0.70904	0.32461	0.03143	0.88124	0.84338	0.42018	0.08717	0.16219	0.48195	0.18084	0.29904	0.65149	0.65553	NA	0.28423	0.17017	0.41681	0.49216	0.36785	0.79317	0.68036	0.92198	0.07102
RID00019	CRNDE	CDKN1A	0.22748	0.62425	0.07421	0.30414	0.33894	0.80489	0.29891	0.88283	0.15833	0	0.92694	0.53005	0.00305	0.92249	0.10498	0.19368	0.01471	0.01335	0.56754	0.01212	0.09697	0.47517	0.03181	0.00074	0.52085	0.14137	0.22548	0.64193	0.00384	0.00047	0	0.94261	0.98641
RID00020	LINC00858	CDK14	0.23737	0.69428	0.22674	0.20463	0.41024	0.26953	0.96728	0.10573	0.60352	0.90071	0.85978	0.01692	0.74869	0.67992	0.9945	0.42348	3e-05	0.43124	0.7586	0.04163	0.27619	0.73441	0.00266	0.48068	0.00146	0.376	0.76117	0.11186	0.89394	0	0.19272	0.5828	0.01609
RID00021	HOTAIR	ZEB1	0.41611	0.18528	0.43746	0.79207	0.53647	0.82098	0.01247	0.18848	0.22715	0.7384	0.03198	0.00027	0.04849	0.04267	0.12751	0.00022	0.10519	0.46306	0.29503	0	0.57565	0.44419	0.03397	0.26001	0.06988	0	0.10395	1e-05	0.16755	0.25379	0	0.00634	0.6433
RID00022	HAGLR	ZEB1	0	0.09897	0	0.38531	0.95733	0.68444	0.26718	0.25038	0.02131	0	0.05691	0	0	0.24366	0.4398	0.00295	0.48595	0.05868	0.28207	0.09696	0.37263	0	0.30268	0.00038	0.15358	0.24557	0.67562	0.95737	0.8943	0.28297	0.93356	0.04263	0.13733
RID00023	TDRG1	VEGFA	0.00344	0.80028	0.18374	0.72633	0.53561	0.60684	0.26155	0.47742	0.82219	0.59793	0.37519	5e-04	0.04622	0.18851	0.17429	0.69108	0.93038	0.58343	0.9857	0.60009	0.0018	0.40372	0.34512	0.97947	0.61054	0.761	0.10374	0.11376	0.03248	0.01057	0.66983	0.00245	0.11509
RID00024	LIFR-AS1	TNFAIP3	0.037	0.97658	0.34308	0.74636	0.00042	0.00021	0.00191	0.82132	0.01306	0.09318	0.34066	0.00182	0.40844	0.6705	0.23219	1e-05	0.3142	0.33005	0.73433	0.62351	0.31814	0.05377	0.28035	5e-05	0.00508	0.14392	0.04095	0.02469	0.42319	0.59726	0.19352	0.48387	5e-05
RID00025	THORLNC	YAP1	0.39088	0.92609	0.00596	0.7769	0.12029	0.23759	0.00811	0.52866	0.04584	0.73163	0.00246	0.0301	0.97357	0.17841	0.02853	0.66945	0.1457	0.94757	0.39239	0.51363	0.18768	0.40905	0.87155	0.60007	0.79557	0.87466	0.30284	0.12751	0.69748	0.47756	0.76745	0.51075	0.27333
RID00026	LINC00339	FOXM1	0.05964	0	0.73781	3e-05	0.51774	0.19147	0.62433	0.00374	0.78879	0	0.00111	0.3574	0.44801	0.43909	0	0.00033	0.57874	0.40521	0.25652	0	0.21194	0.3786	0.81931	0.85142	0	0.26357	0.00943	0.47587	0.00017	8e-05	0	0.10203	0.20928
RID00028	CBR3-AS1	TGFB1	0.25886	0	0.57262	0.02572	0.34661	1e-04	0.88494	0.10772	0.64463	0.00016	0.11844	0.06632	0.89612	0.0561	0	0.00019	0.03771	0.97128	0.03507	0	0.03144	0.0026	0	0.11165	0.00275	0.33844	0.39179	0.32075	0.00411	0.56426	0.41708	0.18093	0.21776
RID00029	CBR3-AS1	PHGDH	0.29229	0.05014	0.00254	0.00542	0.15246	0.46313	0.155	0.95411	3e-04	8e-05	0.50588	0.67538	0.76084	0.24915	0	0.00091	0.23021	0.6313	0.96821	0	0.07442	0.30948	0.44682	0.04143	0.06994	0.65423	0.0176	1e-05	0	0.00231	0.25933	0.90117	0.60234
RID00030	HOTAIR	CDKN1A	0.22116	0.67125	0.33764	0.09662	0.30897	0.5532	0.44087	0.00329	0.18612	0.01491	0.40394	0.41531	0.19039	0.26034	0.66105	0.68629	0.24904	0.00813	0.23026	0.87389	0.61359	0.96385	0.50659	0.09041	0.81978	0.95717	0.48418	1e-05	0.8915	0.09789	0.88089	0.0025	0.92875
RID00031	HOTAIR	RUNX3	0.7089	0.00018	0.65163	0.29752	0.07814	0.46343	0.3872	0.33788	0.92082	0	0.01593	0.09426	0.17179	0.33711	0	0	0.7206	0.02873	0	0.78639	0.00519	0.45924	2e-05	0.40519	0	7e-05	0.97618	0.09266	0.03452	0.03999	0.55403	0.00177	0.80375
RID00032	ZEB2-AS1	HMGB1	0.02953	0.02813	0	0.02968	0.95586	0.00027	0.01671	0.01269	0.14631	0.41401	0.05782	2e-05	0	0.06649	0.58058	0.20032	0	0.00102	5e-05	0.26156	0.71581	0.17614	0.00018	0.87353	7e-05	0	0.00016	0.49569	0.25173	0.01809	0.32112	0.97605	0
RID00034	SNHG12	ELAVL1	0.00235	0.12258	0.00129	0.11125	0.82867	0	0.40119	0.87931	0.38748	0.9118	0.04939	0.79722	0.26524	0.93757	0	0	0.01087	0.55928	0.80134	0.00113	0.3735	0.77094	4e-05	0.14188	0.11448	0.27375	0	0.00522	0.01186	0.09679	0.52909	0.02897	0.30644
RID00036	CYTOR	NRP1	0	0	0	0.95565	0.06555	0	0.58141	8e-05	0.01016	0	0	6e-05	0.00554	0.75432	0	0	0.10062	0.00038	0.46137	0.15976	0.06285	0.00012	0.34754	0.00082	0.43129	0	0	0.97403	0.00149	0.08321	0.07146	0.0072	0
RID00037	MALAT1	HMGB1	0.55161	0.00184	0	0.75709	0.03641	0	0.58371	0.53418	0.00661	0.00137	0.4265	0	1e-05	0.95164	0.00019	0	0	0.03525	0.8308	0.07274	0.04152	0.90855	0	0.00019	0.04567	7e-05	0.61171	0	0.0014	0.02005	0.00017	0.90683	0
RID00038	NEAT1	STAT3	0.27667	0.13389	0	0.14224	0.91604	3e-05	0.14653	0.09327	3e-05	5e-04	0.94089	0.5968	0.50606	6e-05	0	0.00341	0.01188	0.78932	0.01988	1e-05	0.93268	0	0.02667	0.00191	0.00012	0.82845	0.00026	0	0.9449	0	0.9179	3e-05	0.01426
RID00039	MALAT1	STAT3	0.12348	0.92862	0.11411	0.00812	0.3587	0.00726	0.01405	0.36474	0.01812	0.43783	0.21558	0.24661	0.06895	0.26825	0.12743	0	0.09649	0.08436	0.00787	0	0.00044	0.00712	0.05656	0.36963	0	0.007	0.07304	0	0.52922	0	0.89084	0.04619	0.00031
RID00040	SNHG5	CASP1	0.55692	0.53031	0.74623	0.39675	0.49416	0.00664	0.16139	0.47507	0.40682	0.84177	0.0678	0.08163	0.21421	0.13483	0.37565	0.79315	0.52843	0.01501	0.08193	0.05967	0.04564	0.00839	0.85645	0.68411	0.02016	0.93145	0.12006	0.01808	0	0.00066	0.99692	0.24369	0.9049
RID00041	FOXP4-AS1	LATS1	0.8041	0.79339	0.83029	4e-05	0.43357	0.32492	0.88957	0.68835	0.54768	0.82998	0.63083	0.12751	0.67312	0.87033	0.76077	0.37391	0.76013	0	0.59471	0	0.06894	0.13175	0	0.25298	0.40038	0.72828	0.20991	0	7e-05	0.01331	0.68241	0.48119	0.2041
RID00042	TUG1	miR-29c	0.1822	0.56541	0.00264	0.34449	0.79233	0.05962	0.44126	0.25476	0.12664	0.07872	0.12404	0.53739	0.91131	0.05323	0.01187	0.69627	0.26832	0.41563	0.3091	0.41091	0.17848	0.38963	0.06634	0.11181	0.50579	0.53629	0.55033	0.62197	0.13566	0.46001	0.17176	0.99892	0.02085
RID00045	STAT1	LINC00174	0.69652	0.12348	0.02428	0.33156	0.83567	0.26995	0.05803	0.25682	0.31123	0.00749	0.63836	0.58007	0.77037	0.72737	0.13192	0.97398	0.81709	0.06216	0.49575	0	0.08998	0.02948	0	0.50383	0.47489	0.088	0.07099	0.01011	1e-05	9e-05	0.33104	0.8715	5e-05
RID00046	LINC00174	TAZ	0.24583	0	0	0	0.02622	0	6e-05	0.01355	0	0	0.48149	0	0	0.0082	0	4e-05	0	0	3e-05	0	0	0	0.00034	0	0.01247	0	0	0	0	0.30034	0	2e-05	0
RID00047	TP73-AS1	EZH2	0.00099	0	0.066	0.0575	0.83062	0.13329	0.70451	0.92708	0	0	0.23732	0	0	0.92435	0	0	0.00022	0	0.11353	0	0.63774	0.10473	1e-05	0.5059	0.00108	9e-05	0.98281	0	0.00106	0	0	0.06788	0.00314
RID00049	MIR22HG	DAPK1	0.02527	0.41452	0.00161	0.80995	0.00164	0	1e-05	0.62946	0.88064	0.07606	0.01329	0.00277	0	0.65713	0.2437	0	0	0.02641	0.92469	0	0.02008	0.02199	0.87804	0.25131	0.52274	0.01549	0	0.00276	0.05581	0.30024	0.25592	0.06467	0.02809
RID00050	MEG3	miR-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RID00052	SOX21-AS1	CDKN1A	0.45756	0.80349	0.80465	0.22034	0.4082	0.07624	0.60964	0.68912	0.08329	0.0018	0.95939	1e-05	0.34654	0.54719	0.44681	0.07059	0.00555	0.22034	0.41756	0.8568	0.64853	0.16026	0.74817	0.95634	0.28667	0.86991	0.29561	0.00014	0.02445	0.01724	0.59161	0.83965	0.01616
RID00053	DICER1-AS1	ATG5	0.19594	0.27687	0.01959	0.25063	0.728	2e-05	0.25528	0.03203	0.06458	0.04183	0.33242	0	0.06431	1e-04	7e-05	0.69378	0	0.07716	0.07708	0.07065	0.01582	0.49654	0	0.05515	0.24845	0.61603	0.90832	0.00011	0.70008	0	1e-05	0.99295	0
RID00055	FOXO1	RP11-838N2.4	0.57199	0	0	0.10602	0.48567	0	0.06812	0.22322	0.01142	0.36263	0.88344	0	4e-05	0.00127	0	0.61973	0.03953	0.7492	0.03765	0	0.44071	4e-05	0.67295	0.76617	0.23203	0.31317	0	0.00012	0	0	0.00024	0.03338	0.06052
RID00056	FTX	PPARG	0.30242	0.00656	0.03593	0.00884	0.07368	0.00293	0.00884	0.91302	0.98916	0.01447	0.02092	0.0022	0	0.13295	0.12276	0.01171	0.43785	0.35767	0.77875	0.85652	0.09475	0.26367	0.03592	0.91544	0.42102	0.0024	0.00611	0	0.08416	0.57936	0.59182	0.62493	0.29673
RID00057	MIR31HG	miR-31	NA	0	0.00673	2e-05	NA	0.06691	NA	0.00096	0.64661	0	0.99014	0	0.01545	0.81443	NA	NA	0	0	0	0.00054	0	0.40378	0	0.97832	0.20293	2e-04	0	0.03825	0	NA	0.94241	NA	NA
RID00061	TFAP4	TRERNA1	0.36913	0.06473	0.01043	0.68885	0.85308	0.16624	0.61824	0.84468	0.53659	0.19087	0.53361	0.00533	0.07402	0.72408	0.00064	0.00093	0.59438	0.00264	0.1998	0.31153	0.48747	0.32476	0.83747	0.36932	0.54379	0.00192	0.8782	0.04558	0.0303	0.64945	0.81768	0.38025	0.24171
RID00062	PVT1	TGFB1	0.68514	0.18645	0.0268	0.48241	0.81822	0.00346	0.90679	0.69967	0.30233	0.87367	1e-05	0	0.00069	0.23077	0	0.00111	0.90761	0.69644	0.15398	0.39367	0.11443	0.10251	0.21419	0.06	0.8014	0.49518	0.10434	0.00124	3e-05	0.12478	0.18088	0.99774	0.02782
RID00063	PVT1	SMAD2	0.49535	0.1014	0.78656	0.5547	0.02627	0.1758	0.53485	0.08374	0.68864	0.5552	0.47281	1e-05	0.18463	0.32453	0.00126	0.00038	0.27897	0.54748	0.3127	0.01238	0.09162	0.01817	0.02086	0.39645	0.40892	0.54648	0.17397	0.00761	0.00182	0.78634	0.48692	0.61517	0.00039
RID00064	PVT1	SMAD3	0.33472	0.28764	0	0.59658	0.61995	0.66455	0.4777	0.36295	0.88766	0.52355	0.52355	0.02046	0.03909	8e-05	0.00806	0.00083	0.71508	0.55106	0.09237	0.00144	0.03672	0.00233	0.05213	0.93136	0.6583	0.18799	0.90316	0	0.1158	0.55909	0.9317	0.42538	3e-05
RID00065	PVT1	SMAD4	0.57319	0.09326	0.08387	0.68722	0.0455	0.05531	0.24305	0.19046	0.7395	0.32453	0.97866	0.01001	0.11731	0.08461	2e-05	0.95991	0.17715	0.1625	0.36025	0.00075	0.00461	0.0087	0.297	0.96538	0.51632	0.09087	0.03987	0.59873	0.59244	0.12182	0.50748	0.342	0.00195
RID00067	XIST	WNT1	0.23735	0.00059	0.01109	0.47361	0.92142	0.59935	0.82759	0.83921	0.76788	0.79811	0.24068	9e-05	0.6905	0.95316	0.95814	0.85981	0.90932	0.83591	0.87834	0.64337	0.86037	0.20281	0.92092	0.33072	0.04554	0.07562	0.018	0.07198	0.0333	0.76279	0.45659	0.24708	0.43579
RID00070	PVT1	ULK1	0.339	0.59377	0.0013	0.15828	0.94234	0.20199	0.19627	0.10968	0.82613	0.28468	0.40396	0	0.0775	0.19651	0.03557	0.11298	0.00029	0.01463	0.84518	0.38453	0.85279	0.62826	0.75959	0.60875	0.89059	0.47048	0.97738	2e-05	0	0.34765	0.45806	0.73828	0.00146
RID00072	NEAT1	CDH1	0.78416	0.83285	1e-05	0.73171	0.20324	0.00829	0.00675	0.76506	0.34988	0.04782	0.164	0.00225	0.70973	0.55695	0.78058	0.00359	0.75886	0.19063	0.74391	0.85907	0.11837	0.46239	0.43952	0.29309	0.00155	0.37066	4e-04	0.01177	0.00038	0	0.00962	0.82596	0.52152
RID00073	KCNQ1OT1	EZR	0.00386	0.06669	5e-05	0.0024	0.64753	0	0.60751	0.08576	0.01033	0.12069	0.90247	0.0056	0.01115	0.01823	0.6189	0	0.00011	0.09443	0.49802	0.00208	0.42709	0.05143	1e-05	0.03391	0.85559	0.26773	0.14378	0.95257	0	0.00011	0.0273	0.81796	0.00105
RID00074	CDKN1A	SNHG1	0.6413	0.03516	0.01826	0.13157	0.26657	0.00897	0.94959	0.02766	0.00017	0	0.51224	0.71897	0.03899	0.74387	0.22975	0.49204	0.00199	0	0.32908	0.40636	0.10426	0.54849	0	0.19822	0.0295	5e-05	0.71012	0.0412	0.00011	0.01302	1e-05	0.10508	0.01001
RID00076	SNHG7	GALNT7	0.92195	0.04614	0.00103	0.02244	0.27684	0.01183	0.13432	0.30513	0.16022	0.00106	0.36273	0.04725	0.01246	0.00967	0.00058	0.17087	0.78761	0.06712	0.0618	0.45884	0.02864	0.04414	0.00039	0.00092	3e-04	0.01258	0.93057	0.54498	0.05167	0.13431	0.74978	0.49623	0.00985
RID00077	UCA1	ABCB1	0.85048	0.1299	0.29019	0.29629	0.78821	0.7589	0.67457	0.00476	0.02055	0.45398	0.33291	0.04928	0.04567	0.0792	0.00491	0.25518	0.68044	0.45233	0.41395	0.80137	0.23958	0.11703	0.00371	0.12469	0.5477	0.58353	0.57496	0.49806	0.12083	0.05272	0.23329	0.98139	0.30945
RID00078	FENDRR	RUNX1	0.44822	0.00454	0.48585	0.00353	0.08261	4e-05	0.91398	0.07095	0.67249	0.01949	0.56087	0.89534	3e-05	0.19764	0.04692	0	0.33629	0.10546	0.33403	0.14366	0.79901	0.84638	0	0.00718	0.07112	0	0.63302	0	0.01181	0.73895	0.00773	0.63151	0.00022
RID00079	FEZF1-AS1	AKT3	0.59822	0.14179	0.61138	0.46942	0.41392	0.23725	0.30045	0.02636	0.61755	0.00016	0.97338	0.05689	0.20878	0.80286	0.0148	0.05397	0.17243	0.10395	0.98546	0.19457	0.00027	0.35086	0.56871	0.23249	0.70135	0.22178	0.00965	0.02238	0.01673	3e-05	0.7799	0.90195	0.2728
RID00080	NEAT1	IGF2	0.66326	0.417	0.7086	0.35138	0.42783	0.48756	0.68081	0.49419	0.29845	0.02683	0.78526	0.18081	0.21553	0.81283	0.60173	0.21899	0.57177	0.73279	0.07697	0.64829	0.88923	0.74926	0.72945	0.18491	0.17507	0.31552	0.84087	0.0139	0.16012	0.00728	0.73551	0.54218	0.45583
RID00082	BCAR4	MTOR	0.735	0.21941	0.01861	0.44843	0.41157	0.5145	0.23576	0.44855	0.00099	0.63241	0.9665	0.03722	0.68598	0.04784	0.54737	0.81177	0.3174	0.05056	0.72327	0.03886	0.08687	0.87308	0.10964	0.91219	0.45481	0.16466	0.03195	0.15097	7e-04	0.68058	0.73531	0.81685	0.01397
RID00083	BCAR4	VIM	0.30715	0.31051	0.47374	0.45896	0.32531	0.87664	0.34289	0.21339	0.23117	0.10533	0.45729	0.01155	0.91885	0.8822	0.0694	0.00959	0.31626	0.51667	0.47497	0.55546	0.45366	0.35709	0.77026	0.73174	0.39854	0.88374	0.3909	0.14893	0.00103	0.16527	0.11394	0.46004	0.91189
RID00084	BCAR4	CDH2	0.57939	0.50265	0.70003	0.7686	0.74066	0.71802	0.68858	0.49	0.75109	0.00843	0.70068	0.00871	0.88271	0.72964	0.61264	0.1473	0.37509	0.71599	0.54353	0.92911	0.02001	0.06935	0.67539	0.84964	0.95155	0.38789	0.76217	0.43112	0.01941	0.90706	0.31463	0.67715	0
RID00085	BCAR4	CDH1	0.29516	0.39975	0.68657	0.73741	0.08994	0.84898	0.29539	0.45214	0.98331	0.44665	0.84983	0.55971	0.64195	0.6391	0.74429	0.21117	0.00475	0.67887	0.80459	0.13448	0.10855	0.02991	0.56406	0.11446	0.33893	0.21661	0.93965	6e-05	8e-05	0.28431	0.97242	0.16494	0.6985
RID00088	TUG1	MKI67	0	9e-05	0	0	0.32105	0	0	0.00291	0	0	0.02832	0	2e-05	0.0675	0	0	0	0	2e-05	0	0.00055	0	0	0	0	3e-05	0	0	1e-04	0.09425	0	0.04632	0.00566
RID00089	TUG1	HOXB7	0.09404	0	0.12312	0	0.43464	0.01786	0.23763	0.82022	0.38925	0.00018	1e-05	0.00246	0	0.00964	0.08516	0	0.00022	0	0.44057	0.00207	2e-05	0.3609	0.91817	0.01418	0.0057	0	0.0052	1e-05	0.77487	0.35274	0.00022	0.26503	0.51799
RID00090	TUG1	EZH2	8e-05	0	0	0	0.04203	0	2e-05	2e-05	0	1e-05	0.01279	0	0	1e-05	0	0	0	0	2e-05	0	0	2e-05	0	0	0	0	0	1e-05	0	0.99553	0	0.36724	0
RID00091	TP53	TUG1	4e-04	0	0	0	4e-05	0.83546	1e-05	0.00088	0	0	0.00104	0	0	6e-05	0	0	0	0	0.01453	0	0.00026	0	0	0.69564	0.00027	0	0.00036	0	0	0.80275	0	0.59791	0.60736
RID00093	CASC15	SOX4	0.17379	0	0	0	0.00015	0	0.25676	0	0	0	0.00035	0	0	0	0	0	0	0	0	0	0	0	0.00282	0	0	0	0	0	0	0	0	0.21291	0
RID00094	CASC2	PLXNC1	0.00095	0.0848	0	0.30294	0.24979	0	0.01156	0.00911	0	0.00024	0.57967	0	0	0.20445	0	0.15003	0.00013	0.00173	0.18802	0	0	0	0	0.59714	0.00719	0.00944	0.00013	0	0.95333	0.00011	0.00016	0.08166	5e-04
RID00095	miR-21	CASC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RID00097	CASC2	RASSF6	0.13888	0	0	0	0.77426	0	0.9758	3e-05	0.03967	0	0.00024	0	0	0.75536	0.00495	0	0.00025	0.00983	0.54656	0.00017	0.00421	0.18237	0	0.05288	0.19248	2e-05	0.01586	0	0	0.91153	1e-05	0.00119	0.00756
RID00098	CASC2	PIAS3	0.95936	0.00045	0	2e-05	0.60175	0.00022	0	0.57669	0.58023	0	0.01167	1e-04	0	5e-05	0	0	0.13539	0.12122	0.75846	0	0.50227	0	0	0.02009	0.02256	0	0	0	0.00057	0	0	3e-05	0
RID00099	CASC2	STAT3	0.04856	3e-04	0	0.11539	0.67343	1e-05	0.03255	0.00288	0.0044	0	0	0	0	0.84881	0	0	0	9e-05	2e-05	0	0.00101	0.00037	0	0.03852	0.00056	0	0	0	0	0	0	0.01935	0.0023
RID00100	CASC2	FBXW7	0.0035	1e-05	0	0.001	0.36868	0	0.02024	0.20055	0.54545	0	0.68493	0	0	0.63148	0.51795	1e-05	0.00026	0	0.00219	0	0.00025	1e-05	0	0.00838	0.02411	0	0.01532	0	0	0	1e-05	0.41654	0
RID00102	CASC2	EIF4A3	0.34077	0.00034	0.12863	0.14541	0.15831	0.06075	0.67431	0.02399	0.97946	0.00274	0.0153	0.01201	4e-05	0.32127	0.00015	8e-05	0.00068	0.13227	0.00547	0	0.06539	0.13008	0.05339	0.06524	0.73192	2e-05	0.00277	0.15071	0	0.11045	0.81203	0.80547	0.76825
RID00104	CASC8	FGFR1	0.59421	0.22706	0.25093	0.69292	0.88546	0.21583	0.08816	0.30261	0	0.76819	0.28433	0.24303	0.2462	0.57156	0.26367	0.14393	0.7682	0.94753	0.70505	0.00286	0.00018	0.21748	0.03504	0.43962	0.29986	0.00052	0.00208	0.72265	0.23257	0.29945	0.63599	0.90487	0.81648
RID00105	CASC9	PDCD4	0.88557	0.00251	0.00251	0.06159	0.71755	0	0.83278	0.17808	0.63736	0.04017	0.42804	0.00027	0.36659	0.03439	0.06423	0.8671	0.32441	0	0.44448	0.00137	0.36728	0.9416	0.98484	0.06002	0.47873	0.00712	0.01904	0.56718	0.619	0.72017	0	0.0225	0.28631
RID00106	CASC9	EZH2	0.56672	0.3147	3e-05	0.03522	0.13235	0.47619	0.2932	0.88333	0.78532	0.14284	0.27298	0.52283	0.1217	0.83493	1e-05	1e-05	0.00235	0.64396	0.98224	0.13787	0.00012	0.96802	0.69837	0.2005	0.75746	0.19604	0.21403	0.00273	0.31517	0.00025	0.2985	0.17874	0.607
RID00107	CASC9	ABCB1	0.30417	0.00018	0.00218	0.53325	0.00443	0.16969	0.80093	0.02642	0.01478	0.20714	0.59451	0.13427	0.01595	7e-05	0.00145	0.05675	0.00125	0.00219	0.38024	0.53706	0.0301	0.93503	0.41134	0.04762	0.58899	0.97312	0.90933	0.80461	0.22003	0.1475	0.85351	0.5521	0.55448
RID00110	CCAT1	miR-33a	0.73255	0.79118	0.13173	0.52327	NA	0.62091	0.53446	0.07774	0.00766	0.67682	0.16031	0.90581	0.10872	0.05178	0.0098	0.82061	0.51735	0.87828	0.77491	0	0.51602	0.17178	1e-05	0.65833	0.54221	0.11294	0.4091	0.02972	0.64209	0.10331	0.43863	0.59335	0.95083
RID00111	CCAT1	BIRC7	0.69971	0.85725	0.02474	0.82291	0.86206	0.96849	0.80985	0.48346	0.00035	0.19546	0.0173	0.36737	0.75276	0.82596	0.00108	0.69138	0.52755	0.05233	0.27209	0.00146	0.66725	0.01367	0.36547	0.02778	0.55166	0.16925	0.30855	0.23514	0.23418	0.98159	0.63342	0.42627	0.21322
